,symbol,period,open_time,open,high,low,close,volume,feat_ret_high,feat_ret_low,feat_ret_close,ma20,ma20_slope,feat_z_score_ma20_slope,ma50,ma50_slope,feat_z_score_ma50_slope,ma100,ma100_slope,feat_z_score_ma100_slope,ma200,ma200_slope,feat_z_score_ma200_slope,log_open,log1p_volume,feat_z_score_log_open,feat_z_score_log1p_volume,label_close_fast,label_close_slow
46,BTC/USDT,4h,1583208000000,8870.98,8871.36,8752.29,8759.12,20205.61,0.004283630444446018,-1.3379581511850813,-1.2609655303021605,8690.285,0.00034274140750745197,0.6335499337404923,8965.1808,-0.0026343716436236786,-1.4117703521329819,9381.822,-0.0013019514069998461,-1.1775600929078698,9570.62775,-0.00028823654123300013,-1.8075131857382307,9.090540553980789,9.913715567603743,-1.2146117631367654,-0.2655834996758776,0.1896457660304825,2.0816889721355722
47,BTC/USDT,4h,1583222400000,8759.13,8871.47,8737.07,8863.22,24796.037,1.2825474676138038,-0.25185149666689943,1.1883600311903164,8697.058500000001,0.0007794335858952728,0.8278368711221955,8947.260600000001,-0.001998866548235001,-0.9588264013545597,9371.403,-0.0011105518736126418,-0.9902637079324901,9568.50665,-0.0002216260056714381,-1.631474567696139,9.077851863929876,10.118439120996854,-1.39720430719338,0.13744514976615715,-0.9787042082985106,0.836774876662344
48,BTC/USDT,4h,1583236800000,8863.27,8907.0,8660.0,8756.25,60115.814,0.49338449578992805,-2.2933973578600275,-1.2074550363466385,8697.050500000001,-9.198512347374788e-07,0.470695584888414,8927.2482,-0.0022367069536346484,-1.1050298275414503,9359.8156,-0.0012364637397410672,-1.0877183151362777,9565.29795,-0.0003353396843800427,-1.8350827059694672,9.089671049999989,11.004028214030967,-1.1872716323453263,1.8292938070349316,0.45329724274316746,2.4871705563847706
49,BTC/USDT,4h,1583251200000,8754.76,8787.4,8657.41,8717.92,24240.415,0.37282575421826447,-1.1119665187852124,-0.42079965641548256,8697.518500000002,5.381134673188015e-05,0.49736700986784127,8905.2826,-0.00246051185179319,-1.2387465436999159,9346.885699999999,-0.001381426787938067,-1.2012305544861954,9562.136550000001,-0.0003305072164531131,-1.7874450127454213,9.0773528314373,10.095776560498743,-1.3629882934815525,0.06748136306390715,0.36479661708840705,3.2177944675403642
50,BTC/USDT,4h,1583265600000,8717.92,8799.0,8690.93,8765.0,11373.417,0.9300383577734106,-0.3095921963036985,0.5400370730632931,8702.880000000001,0.0006164401949819709,0.763856606835619,8886.3868,-0.0021218641618403478,-0.9922860903450401,9334.843499999999,-0.0012883649577527523,-1.1033063465633848,9558.999,-0.00032812227514167347,-1.7518194557316882,9.073135956339625,9.339034069299663,-1.4058237129199687,-1.3801406889944658,-0.31872795796662395,2.2019768358156324
51,BTC/USDT,4h,1583280000000,8765.0,8842.0,8731.08,8793.01,16946.188,0.878494010268116,-0.3869937250427835,0.319566457501419,8708.530499999999,0.0006492678285805464,0.790466515506499,8870.079,-0.0018351440655273166,-0.7820676895810798,9323.432799999999,-0.0012223772150010692,-1.0307267561683038,9555.38715,-0.0003778481407937795,-1.826517802459239,9.078521797355334,9.737798190760367,-1.298728091241785,-0.5921041333476111,-0.4835846166532047,2.377108704596326
52,BTC/USDT,4h,1583294400000,8792.81,8853.88,8778.69,8819.18,14116.408,0.6945447473560851,-0.16058575131271402,0.29990412621221374,8722.890500000001,0.0016489578810112704,1.2551631118323692,8853.2036,-0.0019025084218526889,-0.8172697436519093,9312.9167,-0.001127921466865578,-0.9313341803493003,9551.8547,-0.00036968151520688775,-1.7796827415663863,9.081689621048193,9.555093087749526,-1.2291303860408926,-0.9464440577170768,-0.8459876538174274,2.4182276949351644
53,BTC/USDT,4h,1583308800000,8819.19,8834.61,8703.72,8723.9,21326.3,0.1748459892575216,-1.3093039156657382,-1.0804847157165343,8727.6975,0.0005510787966440667,0.7572600452397684,8835.9062,-0.0019538012206113953,-0.8418122012864553,9302.6,-0.0011077839878026463,-0.9006379035140235,9548.198349999999,-0.0003827895330109632,-1.7787203152980253,9.084685308048892,9.967696331814828,-1.1632686160771772,-0.13530610602973098,1.135347253977201,3.473912662816571
54,BTC/USDT,4h,1583323200000,8723.9,8787.23,8669.23,8707.91,27657.878,0.725936794323645,-0.6266692648929983,-0.18328958378706073,8735.7,0.000916908497344382,0.9387149723261564,8819.453000000001,-0.0018620840497376445,-0.7656677219413678,9290.4605,-0.0013049577537463941,-1.0761689674799104,9544.834350000001,-0.000352317775216493,-1.6936082437853255,9.073821664624003,10.227665884994556,-1.3148854188875898,0.37759538381599306,1.7136786742777752,3.817505652516217
55,BTC/USDT,4h,1583337600000,8708.24,8753.0,8676.0,8746.15,16306.251,0.5139959394780069,-0.37022406364546345,0.43533480933000135,8740.258,0.000521767002071849,0.7600238086597809,8801.735999999999,-0.002008854744166344,-0.862293147223399,9279.712,-0.0011569394218940987,-0.9228761472985181,9541.872299999999,-0.0003103301630374977,-1.5869401290744447,9.072024982838219,9.699303810211216,-1.3233316303516396,-0.6490879277736092,2.9081634278576116,3.584584580389776
